,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
3/3,I,Life,S,Violence Against The Person,violence without injury,3A Conspiracy to commit murder,Concealing commission of genocide or crime against humanity,"International Criminal Court Act 2001 Sec 52, 53 & 55 ",,,,,
3/4,I,life,V,Violence Against The Person,violence without injury,3A Conspiracy to commit murder,Intentionally encouraging or assisting commission of murder,Serious Crime Act 2007 Sec 44 (pt),,,,,
3/5,I,life,V,Violence Against The Person,violence without injury,3A Conspiracy to commit murder,Encouraging or assisting in the commission of murder believing it will be committed,Serious Crime Act 2007 Sec 45(pt),,,,,
3/6,I,life,V,Violence Against The Person,violence without injury,3A Conspiracy to commit murder,Encouraging or assisting in the commission of one or more offences of murder believing one or more will be committed ,Serious Crime Act 2007 Sec 46(pt),,,,,
4/1,I,life,V,Violence Against The Person,Homicide,4/1 Manslaughter,Manslaughter,Common Law                                                                                  Offences against the Person Act 1861 Sec 5,,,,,
4/2,I,life,V,Violence Against The Person,Homicide,4/2 Infanticide,Infanticide,Infanticide Act 1938 Sec 1(1),,,,,
4/3,I,life,V,Violence Against The Person,Violence with injury ,4/3 Intentional Destruction of a Viable Unborn Child,Child Destruction ,Infant Life (Preservation) Act 1929 Sec 1,,,,,
4/4,I,14,V,Violence Against The Person,Death or serious injury caused by illegal driving,4/4 Causing Death or Serious Injury by Dangerous Driving,Causing death by dangerous driving ,Road Traffic Act 1988 Sec 1 as added by the                                    Road Traffic Act 1991 Sec 1 and                                                     Criminal Justice Act 1993 Sec 67 ,,,,,
4/6,I,14,V,Violence Against The Person,Death or serious injury caused by illegal driving,4/6 Causing Death by Careless Driving under influence of drink or drugs,Causing death by careless driving  when under the influence of drink or drugs ,Road Traffic Act 1988 Sec 3A as added by the                                  Road Traffic Act 1991 Sec 3 and amended by the Criminal Justice Act 1993 Sec 67,,,,,
4/7,I,14,V,Violence Against The Person,Violence with injury ,4/7 Cause or Allow Death or Serious Physical Harm to Child or Vulnerable Person,Causing or Allowing Death of Child or Vulnerable Person,"Domestic Violence, Crime and Victims Act 2004 Sec 5",,,,,
4/8,E,5,V,Violence Against The Person,Death or serious injury caused by illegal driving,4/8 Causing Death by careless or inconsiderate driving,Causing Death by Careless or Inconsiderate Driving ,Road Traffic Act 1988 Sec 2B as added by the             Road Safety Act 2006 Sec 20,,,,,
4/9,E,2,V,Violence Against The Person,Death or serious injury caused by illegal driving,"4/9 Causing Death or Serious Injury by Driving: Unlicensed, Disqualified or Uninsured Drivers","Causing Death by Driving: Unlicensed, or Uninsured Drivers ",Road Traffic Act 1988 Sec 3ZB as added by the Road Safety Act 2006 Sec 21,,,,,
4/10,I,Unlimited Fine,V,Violence Against The Person,Homicide,4/10 Corporate Manslaughter,Corporate Manslaughter,Corporate Homicide Act 2007 Sec 1(1),,,,,
4/11,I,10,V,Violence Against The Person,Violence with injury ,4/7 Cause or Allow Death or Serious Physical Harm to Child or Vulnerable Person,Cause or Allow a Child or Vulnerable Adult to Suffer Serious Physical Harm,"Domestic Violence, Crime and Victims Act 2004 as added by the Domestic Violence, Crime and Victims (Amendment) Act 2012",,,,,
4/12,E,5,V,Violence Against The Person,Death or serious injury caused by illegal driving,4/4 Causing Death or Serious Injury by Dangerous Driving,Cause serious injury by dangerous driving,"Road Traffic Act 1988 as inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012 Sec 143",,,,,
4/13,I,14,V,Violence Against The Person,Death or serious injury caused by illegal driving,4/6 Causing Death by Careless Driving under influence of drink or drugs,Cause death by driving without due care / consideration while over prescribed limit - specified controlled drug.,Road Traffic Act 1988 Sec 3A,2015,02/03/2015,,,
4/17,I,10,V,Violence Against The Person,Death or serious injury caused by illegal driving,"4/9 Causing Death or Serious Injury by Driving: Unlicensed, Disqualified or Uninsured Drivers",Cause death by driving whilst disqualified ,Road Traffic Act 1988 Sec 3ZC as amended by Criminal Justice and Courts Act 2015 Sec 29,2015,13/04/2015,,,
4/18,E,4,V,Violence Against The Person,Death or serious injury caused by illegal driving,"4/9 Causing Death or Serious Injury by Driving: Unlicensed, Disqualified or Uninsured Drivers",Cause serious injury by driving whilst disqualified,Road Traffic Act 1988 Sec 3ZD,2015,13/04/2015,,,
